filename,msat,vsat,mbr,vbr,bf,gf,observed
20160525_210002.jpg, 0.68006, 151.0, 0.90148, 144.9, 1.00000, 0.00000, 
20160515_150002.jpg, 0.09893, 337.0, 0.70178, 813.7, 0.65706, 0.44059, 5
20160520_090001.jpg, 0.01977, 14.8, 0.85020, 252.4, 0.00073, 0.98271, 8
20160427_000002.jpg, 0.00000, 0.0, 0.05498, 29.1, 0.00000, 0.00003, 
20160531_030004.jpg, 0.08864, 166.4, 0.69918, 882.5, 0.66391, 0.39619, 
20160521_150001.jpg, 0.01822, 26.7, 0.85428, 183.9, 0.00328, 0.99613, 7
20160519_210002.jpg, 0.71335, 103.2, 0.54241, 75.9, 1.00000, 0.00000, 
20160507_210005.jpg, 0.81390, 197.4, 0.48903, 65.0, 1.00000, 0.00000, 
20160511_120002.jpg, 0.07142, 97.3, 0.60724, 248.0, 0.47843, 0.05713, 1
20160524_030002.jpg, 0.16864, 15.5, 0.72475, 250.7, 1.00000, 0.64103, 
20160529_000001.jpg, 0.00000, 0.0, 0.19049, 26.6, 0.00000, 0.00004, 
20160429_090001.jpg, 0.15132, 349.6, 0.67826, 581.0, 0.88262, 0.31057, 7
20160530_000001.jpg, 0.00000, 0.0, 0.14060, 37.9, 0.00000, 0.00002, 
20160529_090001.jpg, 0.06147, 79.3, 0.60049, 899.0, 0.65181, 0.16366, 8
20160524_210001.jpg, 0.54648, 53.1, 0.72672, 189.9, 1.00000, 0.00000, 
20160507_120002.jpg, 0.04341, 50.5, 0.86188, 327.2, 0.20046, 0.98402, 5
20160508_210002.jpg, 0.79264, 150.1, 0.49551, 28.9, 1.00000, 0.00000, 
20160425_150002.jpg, 0.07963, 191.6, 0.58106, 1043.0, 0.52193, 0.19461, 7
20160502_030002.jpg, 0.73850, 36.3, 0.87240, 302.7, 1.00000, 0.00000, 
20160525_060001.jpg, 0.11513, 331.6, 0.64865, 54.7, 0.73852, 0.02806, 1
20160506_210002.jpg, 0.73296, 471.5, 0.27993, 32.9, 0.99998, 0.00002, 
20160508_090001.jpg, 0.11390, 291.9, 0.68586, 716.6, 0.76928, 0.43162, 1
20160430_030004.jpg, 0.76010, 15.9, 0.80421, 155.8, 1.00000, 0.00000, 
20160525_150002.jpg, 0.09988, 264.0, 0.65257, 408.3, 0.55223, 0.21381, 1
20160514_150002.jpg, 0.07119, 186.1, 0.57257, 706.0, 0.48698, 0.10319, 7
20160422_120002.jpg, 0.08560, 518.9, 0.62937, 690.6, 0.44290, 0.19607, 5
20160425_120001.jpg, 0.07623, 294.3, 0.63652, 816.9, 0.43637, 0.27216, 6
20160527_000005.jpg, 0.00000, 0.0, 0.16777, 27.4, 0.00000, 0.00002, 
20160511_150002.jpg, 0.14565, 362.6, 0.78813, 392.8, 0.82363, 0.66650, 2
20160501_000005.jpg, 0.00000, 0.0, 0.13220, 50.9, 0.00000, 0.00002, 
20160523_150005.jpg, 0.01432, 3.7, 0.86123, 151.1, 0.00211, 1.00000, 8
20160518_120001.jpg, 0.04187, 115.2, 0.71667, 429.1, 0.29475, 0.59574, 5
20160522_180002.jpg, 0.01117, 6.8, 0.81466, 122.3, 0.00049, 1.00000, 8
20160504_150005.jpg, 0.10585, 351.6, 0.71545, 456.7, 0.57666, 0.50255, 3
20160428_120002.jpg, 0.04048, 78.8, 0.70336, 566.8, 0.31640, 0.48781, 7
20160503_030005.jpg, 0.74118, 9.1, 0.79716, 39.3, 1.00000, 0.00000, 
20160516_060001.jpg, 0.17508, 366.4, 0.65722, 28.5, 0.93002, 0.03697, 1
20160501_060007.jpg, 0.01665, 4.7, 0.70438, 215.6, 0.00000, 0.50197, 7
20160422_180003.jpg, 0.13170, 311.4, 0.72600, 185.8, 0.64764, 0.66068, 3
20160529_210005.jpg, 0.70848, 22.3, 0.60900, 132.3, 1.00000, 0.00000, 
20160424_060005.jpg, 0.04881, 110.7, 0.74763, 337.8, 0.36917, 0.71345, 5
20160509_030004.jpg, 0.06894, 91.5, 0.72790, 157.2, 0.21499, 0.79270, 
20160528_210002.jpg, 0.41409, 28.6, 0.72012, 349.5, 1.00000, 0.00000, 
20160518_000002.jpg, 0.00000, 0.0, 0.11220, 76.5, 0.00000, 0.00003, 
20160528_150005.jpg, 0.05396, 100.6, 0.63398, 1327.4, 0.35821, 0.25038, 7
20160521_210001.jpg, 0.69240, 68.8, 0.58531, 185.6, 1.00000, 0.00000, 
20160513_030002.jpg, 0.39589, 6.4, 0.82119, 133.0, 1.00000, 0.00000, 
20160501_120001.jpg, 0.06105, 175.5, 0.64235, 1530.0, 0.43450, 0.23735, 7
20160506_060005.jpg, 0.06080, 108.2, 0.63904, 10.4, 0.46349, 0.00383, 7
20160510_030001.jpg, 0.07130, 146.4, 0.71099, 265.1, 0.63091, 0.58702, 
20160426_210002.jpg, 0.00000, 0.0, 0.11103, 29.0, 0.00000, 0.00004, 
20160511_030004.jpg, 0.07779, 162.2, 0.72533, 213.0, 0.62339, 0.68029, 
20160515_000005.jpg, 0.00000, 0.0, 0.08689, 32.7, 0.00000, 0.00002, 
20160423_000003.jpg, 0.00000, 0.0, 0.14983, 120.0, 0.00000, 0.00005, 
20160530_210001.jpg, 0.42926, 127.2, 0.78940, 166.1, 1.00000, 0.00000, 
20160510_180001.jpg, 0.04939, 89.8, 0.70371, 498.2, 0.33279, 0.44534, 6
20160516_030005.jpg, 0.09061, 259.1, 0.82186, 298.9, 0.59655, 0.93815, 
20160515_090004.jpg, 0.08940, 215.7, 0.62975, 497.2, 0.50421, 0.18725, 4
20160523_180004.jpg, 0.01248, 13.3, 0.78228, 306.4, 0.00596, 0.89118, 8
20160517_180002.jpg, 0.04092, 47.4, 0.82719, 576.5, 0.12285, 0.88735, 7
20160506_150006.jpg, 0.04117, 84.0, 0.80549, 482.3, 0.03164, 0.86541, 7
20160517_060005.jpg, 0.21539, 458.9, 0.64794, 36.8, 0.97072, 0.02057, 3
20160426_030002.jpg, 0.82099, 132.2, 0.83233, 40.6, 0.99918, 0.00014, 
20160503_090002.jpg, 0.01843, 17.9, 0.69523, 192.8, 0.01493, 0.43819, 8
20160521_180002.jpg, 0.02915, 45.6, 0.74372, 304.7, 0.21964, 0.75240, 8
20160516_120001.jpg, 0.11078, 227.8, 0.69569, 163.9, 0.75242, 0.57096, 2
20160510_060005.jpg, 0.12361, 380.3, 0.62056, 11.5, 0.71586, 0.00000, 1
20160513_000001.jpg, 0.00000, 0.0, 0.10009, 36.8, 0.00000, 0.00004, 
20160519_150006.jpg, 0.04143, 88.6, 0.73982, 662.9, 0.14350, 0.63502, 7
20160520_120002.jpg, 0.01772, 8.5, 0.85134, 176.1, 0.00123, 0.99536, 8
20160505_120007.jpg, 0.09823, 214.6, 0.68772, 456.0, 0.67810, 0.31821, 7
20160501_210001.jpg, 0.00000, 0.0, 0.14673, 23.5, 0.00000, 0.00003, 
20160526_210001.jpg, 0.49638, 57.1, 0.74018, 238.2, 1.00000, 0.00000, 
20160430_060002.jpg, 0.01539, 5.2, 0.81168, 251.6, 0.00000, 0.97999, 8
20160519_030002.jpg, 0.29322, 17.1, 0.77659, 245.8, 1.00000, 0.00000, 
20160504_210002.jpg, 0.74529, 366.6, 0.33624, 34.7, 0.99993, 0.00002, 
20160427_210002.jpg, 0.00000, 0.0, 0.11885, 37.6, 0.00000, 0.00003, 
20160508_030001.jpg, 0.04486, 87.6, 0.70028, 239.7, 0.30238, 0.53983, 
20160426_060002.jpg, 0.14846, 416.9, 0.66542, 35.8, 0.78078, 0.11960, 1
20160513_060001.jpg, 0.03762, 57.1, 0.79629, 381.5, 0.24955, 0.91110, 8
20160517_090004.jpg, 0.20411, 361.7, 0.63114, 251.2, 0.97011, 0.13915, 4
20160528_030001.jpg, 0.18789, 130.0, 0.68474, 222.0, 1.00000, 0.37276, 
20160513_150004.jpg, 0.08444, 300.3, 0.66801, 889.7, 0.57646, 0.29005, 7
20160512_120001.jpg, 0.06558, 186.3, 0.84518, 478.5, 0.48842, 0.91842, 7
20160507_180001.jpg, 0.13415, 436.1, 0.70849, 170.7, 0.73478, 0.38666, 4
20160428_210004.jpg, 0.26099, 1383.9, 0.13089, 52.2, 0.15781, 0.00000, 
20160514_000001.jpg, 0.00000, 0.0, 0.08558, 34.1, 0.00000, 0.00003, 
20160509_150001.jpg, 0.18297, 547.7, 0.74298, 301.5, 0.87395, 0.47010, 2
20160530_120002.jpg, 0.02517, 25.0, 0.80740, 642.9, 0.12053, 0.81179, 7
20160530_150002.jpg, 0.09407, 221.5, 0.75421, 604.9, 0.58537, 0.64304, 3
20160503_060002.jpg, 0.01699, 12.8, 0.77751, 319.4, 0.00021, 0.87062, 8
20160527_090001.jpg, 0.06521, 140.6, 0.63505, 388.3, 0.32202, 0.21464, 5
20160525_180001.jpg, 0.12519, 374.0, 0.69076, 77.2, 0.70495, 0.30608, 1
20160509_180001.jpg, 0.16819, 466.8, 0.69578, 118.6, 0.86652, 0.23718, 1
20160512_090001.jpg, 0.09574, 475.0, 0.71687, 879.5, 0.52566, 0.44976, 3
20160506_030002.jpg, 0.44641, 63.6, 0.83597, 247.0, 1.00000, 0.00000, 
20160525_090001.jpg, 0.08231, 232.3, 0.69502, 749.2, 0.32782, 0.38700, 2
20160508_150006.jpg, 0.18958, 275.9, 0.65492, 179.0, 0.97090, 0.17969, 1
20160516_000005.jpg, 0.00000, 0.0, 0.10580, 32.2, 0.00000, 0.00005, 
20160424_180003.jpg, 0.11326, 315.8, 0.73611, 1073.8, 0.49236, 0.63578, 5
20160424_150003.jpg, 0.16620, 963.3, 0.65397, 744.1, 0.71180, 0.22081, 7
